User_ID,Game_Type,Model_Type,Num_Samples,Genuine_Accuracy,Impostor_Accuracy,Overall_Accuracy,Num_Impostor_IDs
43,forklift_simulator,RandomForest,3,1,1.0,1.0,1
43,forklift_simulator,RandomForest,4,1,0.0,0.5,0
43,forklift_simulator,RandomForest,5,1,0.0,0.5,0
43,forklift_simulator,RandomForest,6,1,0.0,0.5,0
43,forklift_simulator,RandomForest,7,1,0.0,0.5,0
43,forklift_simulator,RandomForest,8,1,0.0,0.5,0
43,forklift_simulator,RandomForest,9,1,0.0,0.5,0
43,forklift_simulator,RandomForest,10,1,0.0,0.5,0
44,forklift_simulator,RandomForest,1,1,1.0,1.0,11
44,forklift_simulator,RandomForest,2,1,1.0,1.0,4
44,forklift_simulator,RandomForest,3,1,1.0,1.0,1
44,forklift_simulator,RandomForest,4,1,1.0,1.0,1
44,forklift_simulator,RandomForest,5,1,1.0,1.0,1
44,forklift_simulator,RandomForest,6,1,1.0,1.0,1
44,forklift_simulator,RandomForest,7,1,0.0,0.5,0
44,forklift_simulator,RandomForest,8,1,0.0,0.5,0
44,forklift_simulator,RandomForest,9,1,0.0,0.5,0
44,forklift_simulator,RandomForest,10,1,0.0,0.5,0
45,forklift_simulator,RandomForest,1,1,0.9090909090909091,0.9545454545454546,11
45,forklift_simulator,RandomForest,2,1,1.0,1.0,5
45,forklift_simulator,RandomForest,3,1,1.0,1.0,2
45,forklift_simulator,RandomForest,4,1,1.0,1.0,1
45,forklift_simulator,RandomForest,5,1,0.0,0.5,0
45,forklift_simulator,RandomForest,6,1,0.0,0.5,0
45,forklift_simulator,RandomForest,7,1,0.0,0.5,0
45,forklift_simulator,RandomForest,8,1,0.0,0.5,0
45,forklift_simulator,RandomForest,9,1,0.0,0.5,0
45,forklift_simulator,RandomForest,10,1,0.0,0.5,0
46,forklift_simulator,RandomForest,1,1,1.0,1.0,11
46,forklift_simulator,RandomForest,2,1,1.0,1.0,5
46,forklift_simulator,RandomForest,3,1,1.0,1.0,2
46,forklift_simulator,RandomForest,4,1,1.0,1.0,2
46,forklift_simulator,RandomForest,5,1,0.0,0.5,0
46,forklift_simulator,RandomForest,6,1,0.0,0.5,0
46,forklift_simulator,RandomForest,7,1,0.0,0.5,0
46,forklift_simulator,RandomForest,8,1,0.0,0.5,0
46,forklift_simulator,RandomForest,9,1,0.0,0.5,0
46,forklift_simulator,RandomForest,10,1,0.0,0.5,0
47,forklift_simulator,RandomForest,1,1,1.0,1.0,14
47,forklift_simulator,RandomForest,2,1,1.0,1.0,2
47,forklift_simulator,RandomForest,3,1,1.0,1.0,1
47,forklift_simulator,RandomForest,4,1,0.0,0.5,0
47,forklift_simulator,RandomForest,5,1,0.0,0.5,0
47,forklift_simulator,RandomForest,6,1,0.0,0.5,0
47,forklift_simulator,RandomForest,7,1,0.0,0.5,0
47,forklift_simulator,RandomForest,8,1,0.0,0.5,0
