User_ID,Game_Type,Model_Type,Num_Samples,Genuine_Accuracy,Impostor_Accuracy,Overall_Accuracy,Num_Impostor_IDs
36,forklift_simulator,RandomForest,9,1,0.0,0.5,0
36,forklift_simulator,RandomForest,10,1,0.0,0.5,0
37,forklift_simulator,RandomForest,1,1,1.0,1.0,11
37,forklift_simulator,RandomForest,2,1,1.0,1.0,5
37,forklift_simulator,RandomForest,3,1,1.0,1.0,2
37,forklift_simulator,RandomForest,4,1,1.0,1.0,2
37,forklift_simulator,RandomForest,5,1,1.0,1.0,1
37,forklift_simulator,RandomForest,6,1,0.0,0.5,0
37,forklift_simulator,RandomForest,7,1,0.0,0.5,0
37,forklift_simulator,RandomForest,8,1,0.0,0.5,0
37,forklift_simulator,RandomForest,9,1,0.0,0.5,0
37,forklift_simulator,RandomForest,10,1,0.0,0.5,0
38,forklift_simulator,RandomForest,1,1,1.0,1.0,11
38,forklift_simulator,RandomForest,2,1,1.0,1.0,5
38,forklift_simulator,RandomForest,3,1,1.0,1.0,2
38,forklift_simulator,RandomForest,4,1,1.0,1.0,2
38,forklift_simulator,RandomForest,5,1,1.0,1.0,1
38,forklift_simulator,RandomForest,6,1,0.0,0.5,0
38,forklift_simulator,RandomForest,7,1,0.0,0.5,0
38,forklift_simulator,RandomForest,8,1,0.0,0.5,0
38,forklift_simulator,RandomForest,9,1,0.0,0.5,0
38,forklift_simulator,RandomForest,10,1,0.0,0.5,0
39,forklift_simulator,RandomForest,1,1,1.0,1.0,12
39,forklift_simulator,RandomForest,2,1,1.0,1.0,3
39,forklift_simulator,RandomForest,3,1,1.0,1.0,3
39,forklift_simulator,RandomForest,4,1,1.0,1.0,1
39,forklift_simulator,RandomForest,5,1,1.0,1.0,1
39,forklift_simulator,RandomForest,6,1,0.0,0.5,0
39,forklift_simulator,RandomForest,7,1,0.0,0.5,0
39,forklift_simulator,RandomForest,8,1,0.0,0.5,0
39,forklift_simulator,RandomForest,9,1,0.0,0.5,0
39,forklift_simulator,RandomForest,10,1,0.0,0.5,0
40,forklift_simulator,RandomForest,1,0,1.0,0.5,12
40,forklift_simulator,RandomForest,2,1,1.0,1.0,4
40,forklift_simulator,RandomForest,3,1,1.0,1.0,1
40,forklift_simulator,RandomForest,4,1,1.0,1.0,1
40,forklift_simulator,RandomForest,5,1,1.0,1.0,1
40,forklift_simulator,RandomForest,6,1,1.0,1.0,1
40,forklift_simulator,RandomForest,7,1,0.0,0.5,0
40,forklift_simulator,RandomForest,8,1,0.0,0.5,0
40,forklift_simulator,RandomForest,9,1,0.0,0.5,0
40,forklift_simulator,RandomForest,10,1,0.0,0.5,0
41,forklift_simulator,RandomForest,1,1,1.0,1.0,11
41,forklift_simulator,RandomForest,2,1,1.0,1.0,3
41,forklift_simulator,RandomForest,3,1,1.0,1.0,2
41,forklift_simulator,RandomForest,4,1,1.0,1.0,1
41,forklift_simulator,RandomForest,5,1,1.0,1.0,1
41,forklift_simulator,RandomForest,6,1,0.0,0.5,0
41,forklift_simulator,RandomForest,7,1,0.0,0.5,0
