Target_User_ID,Base_User_ID,Intruder_Type,Adaptation_Factor,Authentication_Success,Confidence,Game_Type,Num_Samples,Genuine_Votes,Total_Votes,Genuine_Percent
24,10,physical,0.97,False,0.2625,beat_saber,4,0,4,0.0
24,10,physical,0.97,False,0.265,beat_saber,4,0,4,0.0
24,10,physical,0.97,False,0.262,beat_saber,5,0,5,0.0
24,10,physical,0.97,False,0.28,beat_saber,5,0,5,0.0
24,10,physical,0.97,False,0.265,beat_saber,6,0,6,0.0
24,10,physical,0.97,False,0.26857142857142857,beat_saber,7,0,7,0.0
24,10,physical,0.97,False,0.26375000000000004,beat_saber,8,0,8,0.0
24,10,physical,0.97,False,0.2644444444444445,beat_saber,9,0,9,0.0
24,10,physical,0.97,False,0.271,beat_saber,10,0,10,0.0
25,10,physical,0.87,True,0.5733333333333334,beat_saber,3,3,3,1.0
25,10,physical,0.87,True,0.6366666666666667,beat_saber,3,3,3,1.0
25,10,physical,0.87,True,0.5833333333333334,beat_saber,3,3,3,1.0
25,10,physical,0.87,True,0.5700000000000001,beat_saber,4,4,4,1.0
25,10,physical,0.87,True,0.6275,beat_saber,4,4,4,1.0
25,10,physical,0.87,True,0.5920000000000001,beat_saber,5,5,5,1.0
25,10,physical,0.87,True,0.606,beat_saber,5,5,5,1.0
25,10,physical,0.87,True,0.6050000000000001,beat_saber,6,6,6,1.0
25,10,physical,0.87,True,0.6,beat_saber,7,7,7,1.0
25,10,physical,0.87,True,0.59875,beat_saber,8,8,8,1.0
25,10,physical,0.87,True,0.5977777777777777,beat_saber,9,9,9,1.0
25,10,physical,0.87,True,0.599,beat_saber,10,10,10,1.0
27,10,physical,0.87,False,0.15333333333333332,beat_saber,3,0,3,0.0
27,10,physical,0.87,False,0.1366666666666667,beat_saber,3,0,3,0.0
27,10,physical,0.87,False,0.12666666666666668,beat_saber,3,0,3,0.0
27,10,physical,0.87,False,0.155,beat_saber,4,0,4,0.0
27,10,physical,0.87,False,0.125,beat_saber,4,0,4,0.0
27,10,physical,0.87,False,0.152,beat_saber,5,0,5,0.0
27,10,physical,0.87,False,0.124,beat_saber,5,0,5,0.0
27,10,physical,0.87,False,0.145,beat_saber,6,0,6,0.0
27,10,physical,0.87,False,0.13999999999999999,beat_saber,7,0,7,0.0
27,10,physical,0.87,False,0.14,beat_saber,8,0,8,0.0
27,10,physical,0.87,False,0.1388888888888889,beat_saber,9,0,9,0.0
27,10,physical,0.87,False,0.13799999999999998,beat_saber,10,0,10,0.0
28,10,physical,0.99,False,0.39999999999999997,beat_saber,3,0,3,0.0
28,10,physical,0.99,False,0.42,beat_saber,3,0,3,0.0
28,10,physical,0.99,False,0.38666666666666666,beat_saber,3,0,3,0.0
